path,inbound_links,page_views_90d,nav_menu,overlapped,created,last_changed,authors,commits
cli/references/snapshot/databases.mdx,1,0,,,,,0,0
cli/references/snapshot/index.mdx,0,0,,True,,,0,0
cli/references/snapshot/restore.mdx,1,0,,,,,0,0
cli/references/snapshot/summary.mdx,1,0,,,,,0,0
cli/references/snapshot/test.mdx,1,0,,,,,0,0
cli/references/snapshot/upload.mdx,1,0,,,,,0,0
cli/references/teams.mdx,0,0,,,2023-03-13,2026-09-14,3,4
cli/references/users/create.mdx,2,0,,,2020-11-19,2026-06-16,5,8
cli/references/users/delete.mdx,1,0,,,2020-11-19,2026-06-16,5,8
cli/references/users/get.mdx,1,0,,,2020-11-19,2026-06-16,6,10
cli/references/users/index.mdx,1,0,,,2020-11-19,2026-06-16,6,8
cli/references/users/list.mdx,1,0,,,2020-11-19,2026-06-16,5,11
cli/references/users/prune.mdx,1,0,,,2020-11-19,2026-06-16,8,12
cli/references/users/tag.mdx,1,0,,,2020-11-19,2026-06-16,5,8
cli/references/version.mdx,1,20,,,2020-11-19,2026-06-16,6,11
cloud/index.mdx,13,0,True,,2020-05-28,2026-04-27,29,75
cloud/logpush-gcs.mdx,1,0,,,2025-07-17,2025-12-14,2,3
cloud/logpush-s3.mdx,1,0,,,2025-07-17,2025-12-14,2,3
cloud/private-connectivity-aws.mdx,1,0,,,2023-09-04,2026-06-29,8,16
cloud/private-connectivity-gcp.mdx,1,0,,,2023-09-04,2025-12-14,7,12
cloud/private-connectivity-public-lb.mdx,1,0,,,2023-12-05,2025-12-14,6,9
cloud/private-connectivity-sourcegraph-connect.mdx,2,0,,,2023-12-05,2026-06-15,8,14
code-insights/explanations/administration-and-security-of-code-insights.mdx,3,0,,,2021-05-21,2025-12-14,6,12
code-insights/explanations/automatically-generated-data-series.mdx,6,0,,,2021-12-16,2026-01-15,11,18
code-insights/explanations/code-insights-filters.mdx,5,0,,,2021-08-20,2025-12-14,7,8
code-insights/explanations/current-limitations-of-code-insights.mdx,2,0,,,2021-05-25,2025-12-14,10,29
code-insights/explanations/data-retention.mdx,1,0,,,2023-01-24,2025-12-14,3,5
code-insights/explanations/index.mdx,0,0,True,,2025-12-14,2025-12-14,1,1
code-insights/explanations/search-results-aggregations.mdx,2,0,,,2022-09-02,2025-12-14,8,18
code-insights/explanations/viewing-code-insights.mdx,2,0,,,2021-07-20,2025-12-14,4,10
code-insights/how-tos/Troubleshooting.mdx,1,0,,,2021-10-15,2025-12-14,9,11
code-insights/how-tos/creating-a-custom-dashboard-of-code-insights.mdx,2,0,,,2021-07-20,2025-12-14,5,7
code-insights/how-tos/filtering-an-insight.mdx,5,0,,,2021-08-20,2025-12-14,7,9
code-insights/how-tos/index.mdx,0,0,True,,2025-12-14,2025-12-14,1,1
code-insights/index.mdx,11,10,True,,2021-05-19,2026-01-27,12,37
code-insights/language-insight-quickstart.mdx,2,0,,,2021-05-20,2025-12-16,7,14
code-insights/quickstart.mdx,7,20,True,,2021-05-20,2025-12-16,6,19
code-insights/references/common-reasons-code-insights-may-not-match-search-results.mdx,3,0,,,2021-08-27,2025-12-14,5,8
code-insights/references/common-use-cases.mdx,3,0,,,2021-09-21,2025-12-14,5,15
code-insights/references/incomplete-data-points.mdx,1,0,,,2022-12-09,2025-12-14,4,6
code-insights/references/index.mdx,0,0,True,,2025-12-14,2026-02-25,2,2
code-insights/references/license.mdx,1,0,,,2022-02-16,2025-12-14,3,4
code-insights/references/repository-scope.mdx,2,0,,,2023-02-16,2026-01-26,4,5
code-insights/references/requirements.mdx,2,0,,,2022-05-30,2025-12-14,4,6
code-insights/references/search-aggregations-use-cases.mdx,2,0,,,2022-09-20,2025-12-14,6,8
code-insights/types/inventory-stats.mdx,0,0,,,2025-11-24,2025-12-14,1,2
code-monitoring/index.mdx,8,20,True,,2020-12-15,2026-01-27,7,14
code-navigation/auto-indexing-configuration.mdx,6,10,,,2021-11-11,2025-12-14,7,21
code-navigation/auto-indexing.mdx,29,20,True,,2025-11-24,2026-07-22,2,7
code-navigation/envvars.mdx,0,0,True,,2024-08-16,2025-12-16,2,5
code-navigation/explanations/auto-indexing-inference.mdx,7,0,,,2021-11-11,2025-12-14,10,21
code-navigation/explanations/uploads.mdx,2,0,,,2024-03-19,2025-12-16,3,8
code-navigation/features.mdx,13,0,True,,2024-10-21,2026-03-19,3,6
code-navigation/how-to/adding-scip-to-workflows.mdx,6,0,,,2020-03-26,2026-01-27,18,29
code-navigation/how-to/combining-scip-uploads-from-ci-cd-and-auto-indexing.mdx,2,0,,,2025-12-14,2025-12-14,1,3
code-navigation/how-to/index-a-go-repository.mdx,3,0,,,2020-04-24,2026-02-20,14,22
code-navigation/how-to/index-a-typescript-and-javascript-repository.mdx,3,0,,,2020-04-24,2026-01-27,14,24
code-navigation/how-to/index-other-languages.mdx,4,0,,,2019-11-16,2025-12-14,17,35
code-navigation/how-to/index.mdx,0,0,,,2024-09-10,2026-02-20,3,7
code-navigation/how-to/policies-resource-usage-best-practices.mdx,3,0,,,2023-05-08,2025-12-14,3,7
code-navigation/index.mdx,9,0,True,,2024-06-05,2026-03-19,5,10
code-navigation/inference-configuration.mdx,5,0,,,2023-03-14,2025-12-14,6,13
code-navigation/precise-code-navigation.mdx,20,0,True,,2024-10-17,2025-12-19,7,15
code-navigation/private-maven-repository-configuration.mdx,0,0,,,2024-11-04,2025-12-14,2,4
code-navigation/rockskip.mdx,8,0,,,2022-03-11,2026-03-19,7,17
code-navigation/search-based-code-navigation.mdx,5,0,True,,2024-11-13,2025-12-14,2,7
code-navigation/smart-hover.mdx,0,0,True,,2026-04-22,2026-07-01,3,3
code-navigation/syntactic-code-navigation.mdx,0,0,True,,2025-04-23,2025-12-14,2,5
code-navigation/troubleshooting.mdx,0,0,True,,2021-03-26,2026-05-22,9,15
code-navigation/writing-an-indexer.mdx,7,0,,,2025-06-24,2025-12-14,2,5
code-ownership/codeowners-format.mdx,2,0,True,,2023-06-26,2026-02-22,4,6
code-ownership/index.mdx,3,0,True,,2026-02-22,2026-02-22,1,1
code-search/compare-file-filtering.mdx,1,0,,,2025-11-24,2025-11-24,1,1
code-search/faq.mdx,1,0,True,,2025-11-24,2025-12-14,1,3
code-search/features.mdx,23,0,True,,2024-01-25,2026-03-30,5,6
code-search/how-to/index.mdx,0,0,,,2025-11-24,2026-02-25,2,3
