branch	branch_url	first_commit	last_commit	days_idle	tip_author	author_in_sourcegraph_org	ahead_of_main	behind_main	pr_number	pr_url	pr_opened	pr_author	pr_author_in_sourcegraph_org	pr_status	assessment
dec-14	https://github.com/sourcegraph/docs/tree/dec-14	2023-12-13	2023-12-14	1002	MaedahBatool	no	3	1670	5	https://github.com/sourcegraph/docs/pull/5	2023-12-13	MaedahBatool	no	closed unmerged 2023-12-14	DELETE: PR closed without merge; author left org
deep-search-june25	https://github.com/sourcegraph/docs/tree/deep-search-june25	2025-06-24	2025-06-24	443	MaedahBatool	no	3	519	1202	https://github.com/sourcegraph/docs/pull/1202	2025-06-24	MaedahBatool	no	closed unmerged 2025-07-19	DELETE: PR closed without merge; author left org
demo-design-template	https://github.com/sourcegraph/docs/tree/demo-design-template	2024-06-11	2024-06-11	822	MaedahBatool	no	3	1151	411	https://github.com/sourcegraph/docs/pull/411	2024-06-11	MaedahBatool	no	closed unmerged 2024-08-16	DELETE: PR closed without merge; author left org
derekTest	https://github.com/sourcegraph/docs/tree/derekTest		2025-05-06	492	MaedahBatool	no	0	587						no PR	DELETE: no commits beyond main; author left org
disabled-structural-search	https://github.com/sourcegraph/docs/tree/disabled-structural-search		2024-01-17	968	stefanhengl	yes	0	1607	39	https://github.com/sourcegraph/docs/pull/39	2024-01-17	stefanhengl	yes	merged 2024-01-18	DELETE: no commits beyond main
docs/agentic-batch-changes-ga	https://github.com/sourcegraph/docs/tree/docs/agentic-batch-changes-ga	2026-09-11	2026-09-11	0	danielmarquespt	yes	4	4						no PR	WIP?: recent commits, no PR yet
docs/check-example-hostnames	https://github.com/sourcegraph/docs/tree/docs/check-example-hostnames	2026-09-08	2026-09-08	3	marcleblanc2	yes	7	30	1878	https://github.com/sourcegraph/docs/pull/1878	2026-09-08	marcleblanc2	yes	draft merge=CLEAN checks=SUCCESS	WIP: draft PR
docs/fix-docs-url	https://github.com/sourcegraph/docs/tree/docs/fix-docs-url	2025-05-07	2025-05-07	492	trly	yes	1	587	1122	https://github.com/sourcegraph/docs/pull/1122	2025-05-07	trly	yes	closed unmerged 2025-05-07	DELETE: PR closed without merge
docs/normalize-example-hostnames	https://github.com/sourcegraph/docs/tree/docs/normalize-example-hostnames	2026-09-08	2026-09-08	3	marcleblanc2	yes	3	30	1876	https://github.com/sourcegraph/docs/pull/1876	2026-09-08	marcleblanc2	yes	draft review=REVIEW_REQUIRED merge=BEHIND checks=SUCCESS	WIP: draft PR
docs/scip-docs-refresh	https://github.com/sourcegraph/docs/tree/docs/scip-docs-refresh	2026-02-16	2026-02-17	205	trly	yes	2	211						no PR	DELETE?: no PR, idle >180d
