branch	branch_url	first_commit	last_commit	days_idle	tip_author	author_in_sourcegraph_org	ahead_of_main	behind_main	pr_number	pr_url	pr_opened	pr_author	pr_author_in_sourcegraph_org	pr_status	assessment
sync/2025-12-18/15-33-59	https://github.com/sourcegraph/docs/tree/sync/2025-12-18/15-33-59	2025-12-18	2025-12-18	266	bobheadxi	yes	1	270	1495	https://github.com/sourcegraph/docs/pull/1495	2025-12-18	bobheadxi	yes	closed unmerged 2025-12-18	DELETE: PR closed without merge
sync/2025-12-19/21-15-12	https://github.com/sourcegraph/docs/tree/sync/2025-12-19/21-15-12	2025-12-19	2025-12-19	265	buildkite-at-sourcegraph	bot	1	267	1498	https://github.com/sourcegraph/docs/pull/1498	2025-12-19	sourcegraph-buildkite	bot	closed unmerged 2025-12-24	DELETE: PR closed without merge
sync/2025-12-19/21-45-23	https://github.com/sourcegraph/docs/tree/sync/2025-12-19/21-45-23	2025-12-19	2025-12-19	265	buildkite-at-sourcegraph	bot	1	267	1500	https://github.com/sourcegraph/docs/pull/1500	2025-12-19	sourcegraph-buildkite	bot	closed unmerged 2025-12-24	DELETE: PR closed without merge
sync/2025-12-20/06-14-35	https://github.com/sourcegraph/docs/tree/sync/2025-12-20/06-14-35	2025-12-20	2025-12-20	265	buildkite-at-sourcegraph	bot	1	267	1501	https://github.com/sourcegraph/docs/pull/1501	2025-12-20	sourcegraph-buildkite	bot	closed unmerged 2025-12-24	DELETE: PR closed without merge
sync/2025-12-21/06-12-07	https://github.com/sourcegraph/docs/tree/sync/2025-12-21/06-12-07	2025-12-21	2025-12-21	264	buildkite-at-sourcegraph	bot	1	267	1502	https://github.com/sourcegraph/docs/pull/1502	2025-12-21	sourcegraph-buildkite	bot	closed unmerged 2025-12-24	DELETE: PR closed without merge
sync/2025-12-22/05-56-57	https://github.com/sourcegraph/docs/tree/sync/2025-12-22/05-56-57	2025-12-22	2025-12-22	263	buildkite-at-sourcegraph	bot	1	267	1503	https://github.com/sourcegraph/docs/pull/1503	2025-12-22	sourcegraph-buildkite	bot	closed unmerged 2025-12-24	DELETE: PR closed without merge
sync/2026-01-02/00-01-53	https://github.com/sourcegraph/docs/tree/sync/2026-01-02/00-01-53	2026-01-02	2026-01-02	252	buildkite-at-sourcegraph	bot	1	261	1510	https://github.com/sourcegraph/docs/pull/1510	2026-01-02	sourcegraph-buildkite	bot	closed unmerged 2026-01-05	DELETE: PR closed without merge
sync/2026-01-02/06-09-32	https://github.com/sourcegraph/docs/tree/sync/2026-01-02/06-09-32	2026-01-02	2026-01-02	252	buildkite-at-sourcegraph	bot	1	261	1511	https://github.com/sourcegraph/docs/pull/1511	2026-01-02	sourcegraph-buildkite	bot	closed unmerged 2026-01-05	DELETE: PR closed without merge
sync/2026-01-02/19-32-10	https://github.com/sourcegraph/docs/tree/sync/2026-01-02/19-32-10	2026-01-02	2026-01-02	251	buildkite-at-sourcegraph	bot	1	261	1512	https://github.com/sourcegraph/docs/pull/1512	2026-01-02	sourcegraph-buildkite	bot	closed unmerged 2026-01-05	DELETE: PR closed without merge
sync/2026-01-06/15-24-21	https://github.com/sourcegraph/docs/tree/sync/2026-01-06/15-24-21	2026-01-06	2026-01-06	248	buildkite-at-sourcegraph	bot	1	260	1515	https://github.com/sourcegraph/docs/pull/1515	2026-01-06	sourcegraph-buildkite	bot	closed unmerged 2026-02-24	DELETE: PR closed without merge
sync/2026-01-06/18-33-00	https://github.com/sourcegraph/docs/tree/sync/2026-01-06/18-33-00	2026-01-06	2026-01-06	247	buildkite-at-sourcegraph	bot	1	260	1516	https://github.com/sourcegraph/docs/pull/1516	2026-01-06	sourcegraph-buildkite	bot	closed unmerged 2026-02-24	DELETE: PR closed without merge
sync/2026-01-10/01-42-56	https://github.com/sourcegraph/docs/tree/sync/2026-01-10/01-42-56	2026-01-10	2026-01-10	244	buildkite-at-sourcegraph	bot	1	252	1527	https://github.com/sourcegraph/docs/pull/1527	2026-01-10	sourcegraph-buildkite	bot	closed unmerged 2026-01-19	DELETE: PR closed without merge
sync/2026-01-12/04-26-51	https://github.com/sourcegraph/docs/tree/sync/2026-01-12/04-26-51	2026-01-12	2026-01-12	242	buildkite-at-sourcegraph	bot	1	252	1528	https://github.com/sourcegraph/docs/pull/1528	2026-01-12	sourcegraph-buildkite	bot	closed unmerged 2026-01-19	DELETE: PR closed without merge
sync/2026-01-12/22-02-24	https://github.com/sourcegraph/docs/tree/sync/2026-01-12/22-02-24	2026-01-12	2026-01-12	241	buildkite-at-sourcegraph	bot	1	252	1532	https://github.com/sourcegraph/docs/pull/1532	2026-01-12	sourcegraph-buildkite	bot	closed unmerged 2026-01-19	DELETE: PR closed without merge
sync/2026-01-13/19-23-52	https://github.com/sourcegraph/docs/tree/sync/2026-01-13/19-23-52	2026-01-13	2026-01-13	240	buildkite-at-sourcegraph	bot	1	247	1535	https://github.com/sourcegraph/docs/pull/1535	2026-01-13	sourcegraph-buildkite	bot	closed unmerged 2026-01-19	DELETE: PR closed without merge
sync/2026-01-16/08-35-45	https://github.com/sourcegraph/docs/tree/sync/2026-01-16/08-35-45	2026-01-16	2026-01-16	238	buildkite-at-sourcegraph	bot	1	243	1539	https://github.com/sourcegraph/docs/pull/1539	2026-01-16	sourcegraph-buildkite	bot	closed unmerged 2026-01-19	DELETE: PR closed without merge
sync/2026-01-16/12-52-18	https://github.com/sourcegraph/docs/tree/sync/2026-01-16/12-52-18	2026-01-16	2026-01-16	238	buildkite-at-sourcegraph	bot	1	243	1540	https://github.com/sourcegraph/docs/pull/1540	2026-01-16	sourcegraph-buildkite	bot	closed unmerged 2026-01-19	DELETE: PR closed without merge
sync/2026-01-19/23-28-46	https://github.com/sourcegraph/docs/tree/sync/2026-01-19/23-28-46	2026-01-19	2026-01-19	234	buildkite-at-sourcegraph	bot	1	242						no PR	DELETE?: no PR, idle >180d
sync/2026-01-20/15-55-56	https://github.com/sourcegraph/docs/tree/sync/2026-01-20/15-55-56	2026-01-20	2026-01-20	234	buildkite-at-sourcegraph	bot	1	239	1545	https://github.com/sourcegraph/docs/pull/1545	2026-01-20	sourcegraph-buildkite	bot	closed unmerged 2026-01-22	DELETE: PR closed without merge
sync/2026-01-21/04-00-44	https://github.com/sourcegraph/docs/tree/sync/2026-01-21/04-00-44	2026-01-21	2026-01-21	233	buildkite-at-sourcegraph	bot	1	238	1547	https://github.com/sourcegraph/docs/pull/1547	2026-01-21	sourcegraph-buildkite	bot	closed unmerged 2026-01-22	DELETE: PR closed without merge
sync/2026-01-21/08-46-19	https://github.com/sourcegraph/docs/tree/sync/2026-01-21/08-46-19	2026-01-21	2026-01-21	233	buildkite-at-sourcegraph	bot	1	238	1548	https://github.com/sourcegraph/docs/pull/1548	2026-01-21	sourcegraph-buildkite	bot	closed unmerged 2026-01-22	DELETE: PR closed without merge
sync/2026-01-21/20-44-55	https://github.com/sourcegraph/docs/tree/sync/2026-01-21/20-44-55	2026-01-21	2026-01-21	232	buildkite-at-sourcegraph	bot	1	235	1552	https://github.com/sourcegraph/docs/pull/1552	2026-01-21	sourcegraph-buildkite	bot	closed unmerged 2026-01-22	DELETE: PR closed without merge
sync/2026-01-21/22-45-17	https://github.com/sourcegraph/docs/tree/sync/2026-01-21/22-45-17	2026-01-21	2026-01-21	232	buildkite-at-sourcegraph	bot	1	235	1553	https://github.com/sourcegraph/docs/pull/1553	2026-01-21	sourcegraph-buildkite	bot	closed unmerged 2026-01-22	DELETE: PR closed without merge
sync/2026-01-22/18-31-27	https://github.com/sourcegraph/docs/tree/sync/2026-01-22/18-31-27	2026-01-22	2026-01-22	231	buildkite-at-sourcegraph	bot	1	233	1555	https://github.com/sourcegraph/docs/pull/1555	2026-01-22	sourcegraph-buildkite	bot	closed unmerged 2026-02-24	DELETE: PR closed without merge
sync/2026-01-23/11-13-33	https://github.com/sourcegraph/docs/tree/sync/2026-01-23/11-13-33	2026-01-23	2026-01-23	231	buildkite-at-sourcegraph	bot	1	233	1557	https://github.com/sourcegraph/docs/pull/1557	2026-01-23	sourcegraph-buildkite	bot	closed unmerged 2026-02-24	DELETE: PR closed without merge
sync/2026-01-23/17-52-42	https://github.com/sourcegraph/docs/tree/sync/2026-01-23/17-52-42	2026-01-23	2026-01-23	230	buildkite-at-sourcegraph	bot	1	232	1559	https://github.com/sourcegraph/docs/pull/1559	2026-01-23	sourcegraph-buildkite	bot	closed unmerged 2026-02-24	DELETE: PR closed without merge
sync/2026-01-24/01-40-18	https://github.com/sourcegraph/docs/tree/sync/2026-01-24/01-40-18	2026-01-24	2026-01-24	230	buildkite-at-sourcegraph	bot	1	232	1560	https://github.com/sourcegraph/docs/pull/1560	2026-01-24	sourcegraph-buildkite	bot	closed unmerged 2026-02-24	DELETE: PR closed without merge
sync/2026-01-28/14-34-25	https://github.com/sourcegraph/docs/tree/sync/2026-01-28/14-34-25	2026-01-28	2026-01-28	226	buildkite-at-sourcegraph	bot	1	226	1569	https://github.com/sourcegraph/docs/pull/1569	2026-01-28	sourcegraph-buildkite	bot	closed unmerged 2026-02-24	DELETE: PR closed without merge
sync/2026-01-28/20-21-16	https://github.com/sourcegraph/docs/tree/sync/2026-01-28/20-21-16	2026-01-28	2026-01-28	225	buildkite-at-sourcegraph	bot	1	225	1571	https://github.com/sourcegraph/docs/pull/1571	2026-01-28	sourcegraph-buildkite	bot	closed unmerged 2026-02-24	DELETE: PR closed without merge
sync/2026-01-29/01-24-14	https://github.com/sourcegraph/docs/tree/sync/2026-01-29/01-24-14	2026-01-29	2026-01-29	225	buildkite-at-sourcegraph	bot	1	224	1574	https://github.com/sourcegraph/docs/pull/1574	2026-01-29	sourcegraph-buildkite	bot	closed unmerged 2026-02-24	DELETE: PR closed without merge
sync/2026-01-29/07-18-06	https://github.com/sourcegraph/docs/tree/sync/2026-01-29/07-18-06	2026-01-29	2026-01-29	225	buildkite-at-sourcegraph	bot	1	224	1575	https://github.com/sourcegraph/docs/pull/1575	2026-01-29	sourcegraph-buildkite	bot	closed unmerged 2026-02-24	DELETE: PR closed without merge
sync/2026-01-29/16-58-24	https://github.com/sourcegraph/docs/tree/sync/2026-01-29/16-58-24	2026-01-29	2026-01-29	225	buildkite-at-sourcegraph	bot	1	222	1577	https://github.com/sourcegraph/docs/pull/1577	2026-01-29	sourcegraph-buildkite	bot	closed unmerged 2026-02-24	DELETE: PR closed without merge
sync/2026-01-30/23-58-58	https://github.com/sourcegraph/docs/tree/sync/2026-01-30/23-58-58	2026-01-30	2026-01-30	223	buildkite-at-sourcegraph	bot	1	221	1579	https://github.com/sourcegraph/docs/pull/1579	2026-01-30	sourcegraph-buildkite	bot	closed unmerged 2026-02-24	DELETE: PR closed without merge
sync/2026-02-03/13-15-40	https://github.com/sourcegraph/docs/tree/sync/2026-02-03/13-15-40	2026-02-03	2026-02-03	220	buildkite-at-sourcegraph	bot	1	221	1582	https://github.com/sourcegraph/docs/pull/1582	2026-02-03	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-03/20-07-13	https://github.com/sourcegraph/docs/tree/sync/2026-02-03/20-07-13	2026-02-03	2026-02-03	219	buildkite-at-sourcegraph	bot	1	220	1585	https://github.com/sourcegraph/docs/pull/1585	2026-02-03	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-04/00-15-24	https://github.com/sourcegraph/docs/tree/sync/2026-02-04/00-15-24	2026-02-04	2026-02-04	219	buildkite-at-sourcegraph	bot	1	220	1586	https://github.com/sourcegraph/docs/pull/1586	2026-02-04	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-05/12-34-05	https://github.com/sourcegraph/docs/tree/sync/2026-02-05/12-34-05	2026-02-05	2026-02-05	218	buildkite-at-sourcegraph	bot	1	219	1588	https://github.com/sourcegraph/docs/pull/1588	2026-02-05	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-05/20-10-46	https://github.com/sourcegraph/docs/tree/sync/2026-02-05/20-10-46	2026-02-05	2026-02-05	217	buildkite-at-sourcegraph	bot	1	219	1589	https://github.com/sourcegraph/docs/pull/1589	2026-02-05	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-06/19-13-46	https://github.com/sourcegraph/docs/tree/sync/2026-02-06/19-13-46	2026-02-06	2026-02-06	216	buildkite-at-sourcegraph	bot	1	218	1591	https://github.com/sourcegraph/docs/pull/1591	2026-02-06	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-07/04-06-31	https://github.com/sourcegraph/docs/tree/sync/2026-02-07/04-06-31	2026-02-07	2026-02-07	216	buildkite-at-sourcegraph	bot	1	217	1593	https://github.com/sourcegraph/docs/pull/1593	2026-02-07	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-10/15-36-42	https://github.com/sourcegraph/docs/tree/sync/2026-02-10/15-36-42	2026-02-10	2026-02-10	213	buildkite-at-sourcegraph	bot	1	217	1594	https://github.com/sourcegraph/docs/pull/1594	2026-02-10	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-12/22-05-06	https://github.com/sourcegraph/docs/tree/sync/2026-02-12/22-05-06	2026-02-12	2026-02-12	210	buildkite-at-sourcegraph	bot	1	211	1603	https://github.com/sourcegraph/docs/pull/1603	2026-02-12	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-12/22-19-40	https://github.com/sourcegraph/docs/tree/sync/2026-02-12/22-19-40	2026-02-12	2026-02-12	210	buildkite-at-sourcegraph	bot	1	211	1604	https://github.com/sourcegraph/docs/pull/1604	2026-02-12	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-12/22-21-49	https://github.com/sourcegraph/docs/tree/sync/2026-02-12/22-21-49	2026-02-12	2026-02-12	210	buildkite-at-sourcegraph	bot	1	211	1605	https://github.com/sourcegraph/docs/pull/1605	2026-02-12	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-16/17-18-57	https://github.com/sourcegraph/docs/tree/sync/2026-02-16/17-18-57	2026-02-16	2026-02-16	206	buildkite-at-sourcegraph	bot	1	211	1607	https://github.com/sourcegraph/docs/pull/1607	2026-02-16	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-17/12-48-47	https://github.com/sourcegraph/docs/tree/sync/2026-02-17/12-48-47	2026-02-17	2026-02-17	206	buildkite-at-sourcegraph	bot	1	210	1609	https://github.com/sourcegraph/docs/pull/1609	2026-02-17	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-17/22-53-07	https://github.com/sourcegraph/docs/tree/sync/2026-02-17/22-53-07	2026-02-17	2026-02-17	205	buildkite-at-sourcegraph	bot	1	209	1611	https://github.com/sourcegraph/docs/pull/1611	2026-02-17	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-18/11-56-55	https://github.com/sourcegraph/docs/tree/sync/2026-02-18/11-56-55	2026-02-18	2026-02-18	205	buildkite-at-sourcegraph	bot	1	209	1613	https://github.com/sourcegraph/docs/pull/1613	2026-02-18	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-18/15-29-41	https://github.com/sourcegraph/docs/tree/sync/2026-02-18/15-29-41	2026-02-18	2026-02-18	205	buildkite-at-sourcegraph	bot	1	209	1614	https://github.com/sourcegraph/docs/pull/1614	2026-02-18	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-18/20-30-29	https://github.com/sourcegraph/docs/tree/sync/2026-02-18/20-30-29	2026-02-18	2026-02-18	204	buildkite-at-sourcegraph	bot	1	209	1616	https://github.com/sourcegraph/docs/pull/1616	2026-02-18	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-19/00-53-58	https://github.com/sourcegraph/docs/tree/sync/2026-02-19/00-53-58	2026-02-19	2026-02-19	204	buildkite-at-sourcegraph	bot	1	208	1618	https://github.com/sourcegraph/docs/pull/1618	2026-02-19	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-20/00-00-07	https://github.com/sourcegraph/docs/tree/sync/2026-02-20/00-00-07	2026-02-20	2026-02-20	203	buildkite-at-sourcegraph	bot	1	202	1625	https://github.com/sourcegraph/docs/pull/1625	2026-02-20	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-20/11-52-35	https://github.com/sourcegraph/docs/tree/sync/2026-02-20/11-52-35	2026-02-20	2026-02-20	203	buildkite-at-sourcegraph	bot	1	202	1626	https://github.com/sourcegraph/docs/pull/1626	2026-02-20	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-20/17-50-42	https://github.com/sourcegraph/docs/tree/sync/2026-02-20/17-50-42	2026-02-20	2026-02-20	202	buildkite-at-sourcegraph	bot	1	201	1627	https://github.com/sourcegraph/docs/pull/1627	2026-02-20	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-20/17-56-14	https://github.com/sourcegraph/docs/tree/sync/2026-02-20/17-56-14	2026-02-20	2026-02-20	202	buildkite-at-sourcegraph	bot	1	201	1628	https://github.com/sourcegraph/docs/pull/1628	2026-02-20	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-23/23-41-46	https://github.com/sourcegraph/docs/tree/sync/2026-02-23/23-41-46	2026-02-23	2026-02-23	199	buildkite-at-sourcegraph	bot	1	199	1633	https://github.com/sourcegraph/docs/pull/1633	2026-02-23	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-25/03-01-03	https://github.com/sourcegraph/docs/tree/sync/2026-02-25/03-01-03	2026-02-25	2026-02-25	198	buildkite-at-sourcegraph	bot	1	195	1637	https://github.com/sourcegraph/docs/pull/1637	2026-02-25	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-25/06-14-58	https://github.com/sourcegraph/docs/tree/sync/2026-02-25/06-14-58	2026-02-25	2026-02-25	198	buildkite-at-sourcegraph	bot	1	195	1638	https://github.com/sourcegraph/docs/pull/1638	2026-02-25	sourcegraph-buildkite	bot	closed unmerged 2026-02-25	DELETE: PR closed without merge
sync/2026-02-26/15-30-56	https://github.com/sourcegraph/docs/tree/sync/2026-02-26/15-30-56	2026-02-26	2026-02-26	197	buildkite-at-sourcegraph	bot	1	188	1646	https://github.com/sourcegraph/docs/pull/1646	2026-02-26	sourcegraph-buildkite	bot	closed unmerged 2026-02-27	DELETE: PR closed without merge
sync/2026-02-26/17-54-35	https://github.com/sourcegraph/docs/tree/sync/2026-02-26/17-54-35	2026-02-26	2026-02-26	196	buildkite-at-sourcegraph	bot	1	187	1648	https://github.com/sourcegraph/docs/pull/1648	2026-02-26	sourcegraph-buildkite	bot	closed unmerged 2026-02-27	DELETE: PR closed without merge
sync/2026-02-26/19-58-59	https://github.com/sourcegraph/docs/tree/sync/2026-02-26/19-58-59	2026-02-26	2026-02-26	196	buildkite-at-sourcegraph	bot	1	187	1650	https://github.com/sourcegraph/docs/pull/1650	2026-02-26	sourcegraph-buildkite	bot	closed unmerged 2026-02-27	DELETE: PR closed without merge
sync/2026-02-26/20-11-39	https://github.com/sourcegraph/docs/tree/sync/2026-02-26/20-11-39	2026-02-26	2026-02-26	196	buildkite-at-sourcegraph	bot	1	187	1651	https://github.com/sourcegraph/docs/pull/1651	2026-02-26	sourcegraph-buildkite	bot	closed unmerged 2026-02-27	DELETE: PR closed without merge
sync/2026-02-27/11-39-22	https://github.com/sourcegraph/docs/tree/sync/2026-02-27/11-39-22	2026-02-27	2026-02-27	196	buildkite-at-sourcegraph	bot	1	186	1653	https://github.com/sourcegraph/docs/pull/1653	2026-02-27	sourcegraph-buildkite	bot	closed unmerged 2026-02-27	DELETE: PR closed without merge
sync/2026-02-27/23-08-45	https://github.com/sourcegraph/docs/tree/sync/2026-02-27/23-08-45	2026-02-27	2026-02-27	195	buildkite-at-sourcegraph	bot	1	184	1655	https://github.com/sourcegraph/docs/pull/1655	2026-02-27	sourcegraph-buildkite	bot	closed unmerged 2026-03-03	DELETE: PR closed without merge
sync/2026-02-28/06-18-18	https://github.com/sourcegraph/docs/tree/sync/2026-02-28/06-18-18	2026-02-28	2026-02-28	195	buildkite-at-sourcegraph	bot	1	182	1658	https://github.com/sourcegraph/docs/pull/1658	2026-02-28	sourcegraph-buildkite	bot	closed unmerged 2026-03-03	DELETE: PR closed without merge
sync/2026-02-28/10-58-50	https://github.com/sourcegraph/docs/tree/sync/2026-02-28/10-58-50	2026-02-28	2026-02-28	195	buildkite-at-sourcegraph	bot	1	182	1659	https://github.com/sourcegraph/docs/pull/1659	2026-02-28	sourcegraph-buildkite	bot	closed unmerged 2026-03-03	DELETE: PR closed without merge
sync/2026-03-02/17-32-45	https://github.com/sourcegraph/docs/tree/sync/2026-03-02/17-32-45	2026-03-02	2026-03-02	192	buildkite-at-sourcegraph	bot	1	181	1661	https://github.com/sourcegraph/docs/pull/1661	2026-03-02	sourcegraph-buildkite	bot	closed unmerged 2026-03-03	DELETE: PR closed without merge
sync/2026-03-03/21-36-55	https://github.com/sourcegraph/docs/tree/sync/2026-03-03/21-36-55	2026-03-03	2026-03-03	191	buildkite-at-sourcegraph	bot	1	175	1669	https://github.com/sourcegraph/docs/pull/1669	2026-03-03	sourcegraph-buildkite	bot	closed unmerged 2026-03-06	DELETE: PR closed without merge
sync/2026-03-04/12-39-24	https://github.com/sourcegraph/docs/tree/sync/2026-03-04/12-39-24	2026-03-04	2026-03-04	191	buildkite-at-sourcegraph	bot	1	174	1670	https://github.com/sourcegraph/docs/pull/1670	2026-03-04	sourcegraph-buildkite	bot	closed unmerged 2026-03-06	DELETE: PR closed without merge
sync/2026-03-04/17-48-51	https://github.com/sourcegraph/docs/tree/sync/2026-03-04/17-48-51	2026-03-04	2026-03-04	190	buildkite-at-sourcegraph	bot	1	173	1671	https://github.com/sourcegraph/docs/pull/1671	2026-03-04	sourcegraph-buildkite	bot	closed unmerged 2026-03-06	DELETE: PR closed without merge
sync/2026-03-06/19-27-49	https://github.com/sourcegraph/docs/tree/sync/2026-03-06/19-27-49	2026-03-06	2026-03-06	188	buildkite-at-sourcegraph	bot	1	172	1674	https://github.com/sourcegraph/docs/pull/1674	2026-03-06	sourcegraph-buildkite	bot	closed unmerged 2026-03-06	DELETE: PR closed without merge
sync/2026-03-09/06-46-00	https://github.com/sourcegraph/docs/tree/sync/2026-03-09/06-46-00	2026-03-09	2026-03-09	186	buildkite-at-sourcegraph	bot	1	170	1676	https://github.com/sourcegraph/docs/pull/1676	2026-03-09	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-10/06-14-32	https://github.com/sourcegraph/docs/tree/sync/2026-03-10/06-14-32	2026-03-10	2026-03-10	185	buildkite-at-sourcegraph	bot	1	169	1678	https://github.com/sourcegraph/docs/pull/1678	2026-03-10	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-10/08-15-00	https://github.com/sourcegraph/docs/tree/sync/2026-03-10/08-15-00	2026-03-10	2026-03-10	185	buildkite-at-sourcegraph	bot	1	169	1679	https://github.com/sourcegraph/docs/pull/1679	2026-03-10	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-12/14-25-01	https://github.com/sourcegraph/docs/tree/sync/2026-03-12/14-25-01	2026-03-12	2026-03-12	183	buildkite-at-sourcegraph	bot	1	167	1682	https://github.com/sourcegraph/docs/pull/1682	2026-03-12	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-13/01-54-08	https://github.com/sourcegraph/docs/tree/sync/2026-03-13/01-54-08	2026-03-13	2026-03-13	182	buildkite-at-sourcegraph	bot	1	167	1684	https://github.com/sourcegraph/docs/pull/1684	2026-03-13	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-17/23-27-15	https://github.com/sourcegraph/docs/tree/sync/2026-03-17/23-27-15	2026-03-17	2026-03-17	177	buildkite-at-sourcegraph	bot	1	164	1692	https://github.com/sourcegraph/docs/pull/1692	2026-03-17	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-18/18-34-53	https://github.com/sourcegraph/docs/tree/sync/2026-03-18/18-34-53	2026-03-18	2026-03-18	176	buildkite-at-sourcegraph	bot	1	161	1694	https://github.com/sourcegraph/docs/pull/1694	2026-03-18	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-19/20-14-25	https://github.com/sourcegraph/docs/tree/sync/2026-03-19/20-14-25	2026-03-19	2026-03-19	175	buildkite-at-sourcegraph	bot	1	160	1697	https://github.com/sourcegraph/docs/pull/1697	2026-03-19	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-20/03-51-28	https://github.com/sourcegraph/docs/tree/sync/2026-03-20/03-51-28	2026-03-20	2026-03-20	175	buildkite-at-sourcegraph	bot	1	159	1701	https://github.com/sourcegraph/docs/pull/1701	2026-03-20	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-20/11-19-49	https://github.com/sourcegraph/docs/tree/sync/2026-03-20/11-19-49	2026-03-20	2026-03-20	175	buildkite-at-sourcegraph	bot	1	158	1703	https://github.com/sourcegraph/docs/pull/1703	2026-03-20	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-20/14-39-52	https://github.com/sourcegraph/docs/tree/sync/2026-03-20/14-39-52	2026-03-20	2026-03-20	175	buildkite-at-sourcegraph	bot	1	158	1704	https://github.com/sourcegraph/docs/pull/1704	2026-03-20	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-21/04-19-06	https://github.com/sourcegraph/docs/tree/sync/2026-03-21/04-19-06	2026-03-21	2026-03-21	174	buildkite-at-sourcegraph	bot	1	156	1706	https://github.com/sourcegraph/docs/pull/1706	2026-03-21	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-21/04-43-17	https://github.com/sourcegraph/docs/tree/sync/2026-03-21/04-43-17	2026-03-21	2026-03-21	174	buildkite-at-sourcegraph	bot	1	156	1707	https://github.com/sourcegraph/docs/pull/1707	2026-03-21	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-23/09-04-19	https://github.com/sourcegraph/docs/tree/sync/2026-03-23/09-04-19	2026-03-23	2026-03-23	172	buildkite-at-sourcegraph	bot	1	156	1708	https://github.com/sourcegraph/docs/pull/1708	2026-03-23	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
sync/2026-03-23/10-30-49	https://github.com/sourcegraph/docs/tree/sync/2026-03-23/10-30-49	2026-03-23	2026-03-23	172	buildkite-at-sourcegraph	bot	1	156	1709	https://github.com/sourcegraph/docs/pull/1709	2026-03-23	sourcegraph-buildkite	bot	closed unmerged 2026-03-30	DELETE: PR closed without merge
